,baby_laughing,baby_singing,beach,boiling_water_with_kettle,bird_singing,boxing,bubble_wrap_popping,cat_meowing,child_crying,chainsaw_cutting,cow_moo,dolphin_call,dot_matrix_printer,drinking_sounds,donkey_braying,drum_roll,finger_snapping,eating_sounds,glass_breaking,hammer_a_nail,guitar_plucking,helicopter_landing,horse_neighing,key_open_a_door,kid_screaming,lighter,interview,lion_roar,mud_bubbling,male_choir,people_running,person_laughing,person_singing,person_speaking_in_natural_scene,piano_player,pig_oink,plane_taking_off,police_car_with_siren,rain,rooster_crowing,snowfall,sweep,river,tearing_paper,typing_keyboard,wind,fireplace,walking_on_gravel,heartbeat,steam_train
baby_laughing,0.0,0.004784479984860046,0.04449728916912512,0.04488127193618847,0.024551574281197187,0.0173977103909873,0.030255232903480752,0.030018515235971367,0.004158654794730139,0.040569872110563905,0.038318850969737944,0.034966892935450994,0.03150807357421328,0.0179744681427619,0.029273806215333237,0.025105921890511994,0.04994249677406515,0.017939620440911082,0.04235874063531895,0.037204936043309295,0.026067809667232753,0.019354842067900033,0.03011190335615212,0.049699047511867864,0.00413143806842306,0.04276705916459208,0.019908406183267904,0.03574632734343888,0.03838793497055845,0.023715008857209945,0.024968002568920948,0.013890231624295953,0.02472594386206136,0.01205513021015814,0.02691141401191148,0.021600977203420878,0.020302733198636222,0.025971402213868573,0.028314429458995025,0.03402448707925877,0.0449216311624041,0.04019448560117527,0.04124445463859175,0.05038500035367253,0.03249761689891624,0.04777116418803357,0.033394812809007024,0.020214809586536247,0.029146505675354328,0.025876537284213578
baby_singing,0.004784479984860046,0.0,0.03813406569822768,0.037572003545303295,0.023274988844909077,0.019144387689328232,0.02743262069032713,0.021238615285325457,0.0043046920332302655,0.03795149002718333,0.032607115843568645,0.0324530775481861,0.0327727778170708,0.011548576733067847,0.026770185424111914,0.02005838822195934,0.042466172247711625,0.011568507278251587,0.03612366287294789,0.03003882756174953,0.02495572486092827,0.019188584295514285,0.02610472571998443,0.04269457012075044,0.004043093825102365,0.03372998393510895,0.021120048041895705,0.0279040447703045,0.036139294975528195,0.023222375525907828,0.023264841667393493,0.013981415413978498,0.024459444663880506,0.013519588743451251,0.025616663036734478,0.02063952432344647,0.01902142276384987,0.026041052661786423,0.025360334259293175,0.02838127523952962,0.038305843265270915,0.03259750878798804,0.03179855760865353,0.042451484888658526,0.032410328175843446,0.0367770728390852,0.026018431251496953,0.021623617799561498,0.02077970566614583,0.02575342903364182
beach,0.04449728916912512,0.03813406569822768,0.0,0.026931717360333184,0.026998894767749287,0.03339546080740752,0.02533566266400226,0.025547607475480672,0.045850296612797,0.02304496063914758,0.02999006510829684,0.029310853396917736,0.027473792333899634,0.03612257226606244,0.03268872201569274,0.025134665265360883,0.02989194290339438,0.031857727340914105,0.023142966993554108,0.026907947329967194,0.030033441208191066,0.041680884639783346,0.037998343739814505,0.024390626713633498,0.03509709862209366,0.03117738496940271,0.031008760191944422,0.03900460458063301,0.010307087996070535,0.024841439953966843,0.02415938128273452,0.030586074756403053,0.028256580388497866,0.031173851549788478,0.025397837730241467,0.0358462041942918,0.04516282007854902,0.043772365034066535,0.006183431092972548,0.02889781066202647,0.007606633672364372,0.02699189047770149,0.0056556856307502556,0.02540875839641343,0.02590600289713888,0.0053324714117403225,0.016645643350273492,0.025136076940206597,0.02028019429278091,0.04279272329621294
boiling_water_with_kettle,0.04488127193618847,0.037572003545303295,0.026931717360333184,0.0,0.025346205790059383,0.040826909270303476,0.012235070361894975,0.03200315317245441,0.0430850549555042,0.008629126516986425,0.022751794798869778,0.032784828940659164,0.0132570940881012,0.04143979014094461,0.021072221700968754,0.02697678683834234,0.020557248098973163,0.037857431541751106,0.025940354589312698,0.023516572272816436,0.03823310820936876,0.02876606496339858,0.023291020098706934,0.024000884893683502,0.04062730498545125,0.02102683814436396,0.0397269807948699,0.021352701292955117,0.03294699770700486,0.03490657104093018,0.030399134027549964,0.025927304561794977,0.03531900299697488,0.026569812445832532,0.020609544064458203,0.023050063211906783,0.033314205650923856,0.03279205902436899,0.029021589562015285,0.02485199903437568,0.02635146490132359,0.02022510876420725,0.025659731576563753,0.022629090028210938,0.011201414953008203,0.03258665206536231,0.013801025030122918,0.030586037066283416,0.025092161691707745,0.03234505290363747
bird_singing,0.024551574281197187,0.023274988844909077,0.026998894767749287,0.025346205790059383,0.0,0.030878800065872354,0.02566581927079011,0.008425185193681472,0.030681841644212938,0.019606048569565784,0.008571157784842645,0.00836121208160322,0.029568627596439793,0.02954344436713722,0.007667136416700402,0.02916606285586916,0.02492342661951355,0.02606276227254578,0.026218000769029783,0.026389273559274,0.028957550976063243,0.03207028587130277,0.006364622941479431,0.027978980576825765,0.02142702819137432,0.022534134457957607,0.03248209426090328,0.0062981767624007015,0.03559454042385791,0.029357635575997333,0.022719410149987945,0.02147159502397499,0.02368344003450144,0.019977925448855002,0.027688180416454853,0.005450912505974802,0.02957243894643023,0.027895642239206542,0.028763376853403307,0.007919825091060855,0.03088175585380335,0.027052877539781268,0.0298198319474069,0.025722818633733834,0.02954648168118727,0.029795737741394723,0.02229859036331841,0.026962073504156553,0.02089721519803516,0.028406917564109513
boxing,0.0173977103909873,0.019144387689328232,0.03339546080740752,0.040826909270303476,0.030878800065872354,0.0,0.02902484350693593,0.02833487884962148,0.01824052586971311,0.039611786958143574,0.03963519221823153,0.04059711398267937,0.02959750708678861,0.00825774833682674,0.03255141582745165,0.03435461996017324,0.04492115313748785,0.008719018681945492,0.035136512673769014,0.03422873676982835,0.031729772544456795,0.03304734826133393,0.03305343494219005,0.0372160218891757,0.017567398436579337,0.03543555692164945,0.02097794803016174,0.037411638306960586,0.028773944134583358,0.009162218285323088,0.012048883826145244,0.00888558443604434,0.009851215231079577,0.008286028437490708,0.03270647996440436,0.02862753321693173,0.0344449989412912,0.03150893814101184,0.02815639006263248,0.03578708025792382,0.031669818579830554,0.031219425517441248,0.029150582217395183,0.03836471439374348,0.031431067453683625,0.03797351258743951,0.030056200872153084,0.01743538082925179,0.01377279749624649,0.027167126646368743
bubble_wrap_popping,0.030255232903480752,0.02743262069032713,0.02533566266400226,0.012235070361894975,0.02566581927079011,0.02902484350693593,0.0,0.03513183567969792,0.029311887171217955,0.012477398789860603,0.03152369567624441,0.024927604218226068,0.007731321450587421,0.030092482363951727,0.029634682889445676,0.025824453097192227,0.010757819446936476,0.026621884427073354,0.023859547650503535,0.010013541955799423,0.026245204549720434,0.029690406789772566,0.022718880919946945,0.013139232617257624,0.027253688605432327,0.010198134718339795,0.02880097572735549,0.03205085985695388,0.024179029374982144,0.029781486961281876,0.0329112723753667,0.024445119284014213,0.03255848888626221,0.02481590449980937,0.028637073923334196,0.030552165313107008,0.03198820239758804,0.03409818334430939,0.025035307825862243,0.023872551040205293,0.025131289570512232,0.00812858982839086,0.025567642767230083,0.013491309338638725,0.010837505982474155,0.02592260368260849,0.01906022231860038,0.019507130937343038,0.022270572481550174,0.03302626481008773
cat_meowing,0.030018515235971367,0.021238615285325457,0.025547607475480672,0.03200315317245441,0.008425185193681472,0.02833487884962148,0.03513183567969792,0.0,0.029170598985715498,0.03731728241954966,0.00815615798726264,0.006255298515743087,0.038064597542868804,0.029145682426631164,0.005223587969367936,0.02700314794028447,0.031630575364146006,0.02554059062365056,0.033320610617266405,0.02877787743173165,0.027122618538905074,0.02034911292309811,0.007413430085831381,0.03358195548902322,0.02921285854430559,0.03238104225091417,0.03028578187053228,0.00816720769963048,0.03133908044481271,0.027036261693048656,0.02323526126104693,0.02312920067511155,0.02294959289995817,0.020153954296531093,0.025632622826280607,0.0075621088135600315,0.019849781023680554,0.022053019886617328,0.02701141186104856,0.005262886603209238,0.028998354035184474,0.03642127968335705,0.02726417587147638,0.02768372175640655,0.033095218827259604,0.024319244737288935,0.029912222398504062,0.024375610842028207,0.02176458840839405,0.02208870187561256
child_crying,0.004158654794730139,0.0043046920332302655,0.045850296612797,0.0430850549555042,0.030681841644212938,0.01824052586971311,0.029311887171217955,0.029170598985715498,0.0,0.040880410454450726,0.038184320878143684,0.03277527275530155,0.028782831818416895,0.011821815195257311,0.028513889103626514,0.0239383401521179,0.0455543145696897,0.01208487457042097,0.039529588717671565,0.03425749499900771,0.021190490481609568,0.020012623270727264,0.030679452519003052,0.04827260302350085,0.004122362809925621,0.04138939872005689,0.020690423493951247,0.032055854441325575,0.03324779570500878,0.021997104127502783,0.021722708892563898,0.013325599164908317,0.02003737391573544,0.013793235571395024,0.025198752958194643,0.027431893948102658,0.02653149049548514,0.025787550523618915,0.025582239496607966,0.033940914771802846,0.04559139227976747,0.038009403662305756,0.036980446576142204,0.04759267103121545,0.03184775117945349,0.044243930262597694,0.03153778522249385,0.017123517833668528,0.01996694002694502,0.025476240660275977
chainsaw_cutting,0.040569872110563905,0.03795149002718333,0.02304496063914758,0.008629126516986425,0.019606048569565784,0.039611786958143574,0.012477398789860603,0.03731728241954966,0.040880410454450726,0.0,0.01887264060849019,0.03306460497548348,0.015223413780048429,0.04081876395796936,0.019399052877930926,0.027151968185204507,0.012774843875528638,0.03735237393040128,0.00947899535205663,0.013130019181958792,0.03324643778932846,0.036520613736689606,0.02924226345656388,0.008649651636850185,0.037862095965558624,0.018489798603779032,0.04093141455596693,0.02842283932931136,0.028967936316040704,0.03281295017076207,0.03422676068677714,0.028115681109459282,0.0340480519902617,0.029301669720545463,0.02106728128390531,0.02920549320897043,0.03548232535192457,0.041982626587483265,0.025653881021695742,0.02121781804423168,0.019846290733791596,0.0196075474772522,0.022836575644682236,0.012524360394073163,0.009754576593643626,0.030559903602479312,0.02244559347203657,0.027222948624783368,0.02252113489126104,0.03493301274848693
cow_moo,0.038318850969737944,0.032607115843568645,0.02999006510829684,0.022751794798869778,0.008571157784842645,0.03963519221823153,0.03152369567624441,0.00815615798726264,0.038184320878143684,0.01887264060849019,0.0,0.00856755941299888,0.02476522651128234,0.03868294553085637,0.005449385020188407,0.03451772280045704,0.030316876535556033,0.0351061826863149,0.02838821529126992,0.023402793334938696,0.0412891793295338,0.030287795466624162,0.00967184715154892,0.023939859858189194,0.033772865672376355,0.025350133497388197,0.040524305477265876,0.006587164326405526,0.03274172726234311,0.03649336050134434,0.026418270230304915,0.025516883696547372,0.034765634901290046,0.030316447382849446,0.03285830533122069,0.007748137926790218,0.029274807760887665,0.02934338568707324,0.0321809767627288,0.005095727129161579,0.03608171156110011,0.02781566540888342,0.03143470347881234,0.02381007493779765,0.025440006529105566,0.02805074002584562,0.0237981655525721,0.025151287778950846,0.030130665033200096,0.030241082448187944
dolphin_call,0.034966892935450994,0.0324530775481861,0.029310853396917736,0.032784828940659164,0.00836121208160322,0.04059711398267937,0.024927604218226068,0.006255298515743087,0.03277527275530155,0.03306460497548348,0.00856755941299888,0.0,0.02438735534028187,0.035368001585672514,0.00724027278741095,0.038551226357798715,0.028650899400449528,0.03153437796999214,0.02802731839318987,0.01944095302514511,0.04361452217142861,0.02499969446092488,0.009388577163249265,0.0349130897731392,0.03059624764909052,0.030914262060397917,0.042148056239052975,0.009784946038089012,0.0430667265973722,0.03848394668868726,0.02475643930704636,0.02647852067996871,0.036101963208531596,0.030952843920641175,0.03374264825544494,0.006080297187506364,0.024092999107659153,0.025643237590965384,0.031606572457235034,0.007470972938660509,0.04024971130360641,0.023412699671153073,0.030797662578579577,0.028666816191916515,0.023455214407367087,0.02578236513512451,0.02051462587803476,0.031468944795609015,0.03173945894414893,0.026224107438274767
dot_matrix_printer,0.03150807357421328,0.0327727778170708,0.027473792333899634,0.0132570940881012,0.029568627596439793,0.02959750708678861,0.007731321450587421,0.038064597542868804,0.028782831818416895,0.015223413780048429,0.02476522651128234,0.02438735534028187,0.0,0.025948775325740768,0.029995481052119154,0.01752339232839723,0.017610100216705782,0.028199856759738247,0.022419314602052702,0.012590306232078399,0.019323040003966747,0.027838130113016484,0.023465275763612396,0.017762043246277174,0.03174408085727313,0.011557093710054546,0.029592202268564263,0.027343526714838508,0.022768018534255537,0.035473532871258456,0.03226334517051503,0.02202095040233781,0.03397101978727285,0.01927824115709841,0.02484862911913513,0.02032635321532734,0.0312778515850523,0.032673330437541136,0.02818356722569084,0.025019317141849625,0.030160766183013853,0.01106085420082488,0.025291838570278405,0.013759680774075803,0.007571516713985125,0.02646934742096346,0.012107977052233985,0.02484514236500441,0.028021973716573365,0.03104885752906672
drinking_sounds,0.0179744681427619,0.011548576733067847,0.03612257226606244,0.04143979014094461,0.02954344436713722,0.00825774833682674,0.030092482363951727,0.029145682426631164,0.011821815195257311,0.04081876395796936,0.03868294553085637,0.035368001585672514,0.025948775325740768,0.0,0.0355778378209258,0.021857101517385333,0.04588004966751005,0.003450979363827535,0.03662794793399287,0.03170658227600275,0.02564368608304804,0.029178238665358694,0.03411906287194704,0.046990252421109734,0.013083156807742503,0.04030456946058033,0.010885813559749562,0.03933812962894094,0.031005998192708405,0.011853473581430126,0.014618641099723306,0.008479685709032032,0.009196902683302343,0.007970123198386275,0.02847197532796571,0.027119886480237224,0.029630483636546773,0.03564882769408905,0.0294209445327592,0.03463030652676879,0.035105716041677705,0.0359869129894299,0.0321596614683368,0.039684204427218914,0.032194038328585944,0.04032860618466996,0.030146946229716264,0.021197954289764308,0.01366754382775563,0.03583453244706584
donkey_braying,0.029273806215333237,0.026770185424111914,0.03268872201569274,0.021072221700968754,0.007667136416700402,0.03255141582745165,0.029634682889445676,0.005223587969367936,0.028513889103626514,0.019399052877930926,0.005449385020188407,0.00724027278741095,0.029995481052119154,0.0355778378209258,0.0,0.034605763537767474,0.027518624985662887,0.032117337797114426,0.024718364605239605,0.021804578664095332,0.03804895668417353,0.02406889585186174,0.005514499911718187,0.019888930056572173,0.029298416715999188,0.021930902733893264,0.03405560348767889,0.006033483789601853,0.04036002652438593,0.03517644933991815,0.019616208554541947,0.02724634398582443,0.03265804451745545,0.027442466826997542,0.03281247182142012,0.009158327381990353,0.021723503074279015,0.02119968565755187,0.028875350115509013,0.0071210205582719985,0.03820430952096348,0.024343120631270705,0.03339162183489489,0.028306152765148494,0.03339422218875285,0.029155887654783542,0.021054108505614347,0.029128318659358724,0.030527561157454593,0.022638469197978166
drum_roll,0.025105921890511994,0.02005838822195934,0.025134665265360883,0.02697678683834234,0.02916606285586916,0.03435461996017324,0.025824453097192227,0.02700314794028447,0.0239383401521179,0.027151968185204507,0.03451772280045704,0.038551226357798715,0.01752339232839723,0.021857101517385333,0.034605763537767474,0.0,0.034622269628082646,0.020283415937874794,0.022719077273874365,0.027368048383410795,0.005798694033206748,0.03765169634239961,0.03254629647653321,0.02912914520518274,0.024345414976781617,0.032537288996751984,0.03194899909261525,0.03383157806479678,0.02276423477470087,0.03229396759462929,0.021817386307805508,0.01745784850673345,0.023618436815038966,0.019463735831381623,0.00473797550778622,0.03432769390433072,0.04027501989455658,0.031059829866295092,0.021850351245362665,0.033354543361462693,0.032197845899404595,0.024051391086809766,0.02441279330488024,0.025991089150417743,0.01687415334152892,0.02215846716639175,0.022578302268151895,0.027446432259016905,0.029005038927224152,0.028211413729068165
finger_snapping,0.04994249677406515,0.042466172247711625,0.02989194290339438,0.020557248098973163,0.02492342661951355,0.04492115313748785,0.010757819446936476,0.031630575364146006,0.0455543145696897,0.012774843875528638,0.030316876535556033,0.028650899400449528,0.017610100216705782,0.04588004966751005,0.027518624985662887,0.034622269628082646,0.0,0.042350586533384714,0.027096426823716102,0.007950254230452133,0.041140542618396274,0.037034310294574456,0.03033672225228509,0.007172462277225411,0.04575211582830483,0.008099889313932804,0.03946601751712068,0.028445925521380543,0.03142316991654232,0.038377400585130186,0.032854637269878625,0.030503720547731372,0.03936561217429657,0.03789766985717871,0.028280828369746953,0.03134418203753498,0.03740681646855249,0.03878032459814604,0.02909850183117943,0.03109166514726165,0.03052268957475443,0.007615774938867536,0.02831027946585633,0.0064059496818354225,0.015988584623838363,0.036023795724695606,0.025080271684066822,0.02652906099185916,0.026339746486759387,0.039515164204527616
eating_sounds,0.017939620440911082,0.011568507278251587,0.031857727340914105,0.037857431541751106,0.02606276227254578,0.008719018681945492,0.026621884427073354,0.02554059062365056,0.01208487457042097,0.03735237393040128,0.0351061826863149,0.03153437796999214,0.028199856759738247,0.003450979363827535,0.032117337797114426,0.020283415937874794,0.042350586533384714,0.0,0.03325205281754012,0.03016055224419316,0.021095702724033896,0.02846113763799028,0.0285540587588352,0.04338121068367247,0.012924822556731762,0.031935387142366024,0.011499688824404573,0.036068925119642596,0.030766694263372432,0.01170736037716312,0.01280723349458223,0.008063233496400328,0.008449335137061,0.007785273622725364,0.022115188791193126,0.029268734343852833,0.028544766990576797,0.031170300601359578,0.027302042452754267,0.031083986016809294,0.029665736929643204,0.03244223803072091,0.029553902442478096,0.03691722386765814,0.02777365876414393,0.037286105493723014,0.0265300373764481,0.02061170529333871,0.015662649536543054,0.031143500396821993
glass_breaking,0.04235874063531895,0.03612366287294789,0.023142966993554108,0.025940354589312698,0.026218000769029783,0.035136512673769014,0.023859547650503535,0.033320610617266405,0.039529588717671565,0.00947899535205663,0.02838821529126992,0.02802731839318987,0.022419314602052702,0.03662794793399287,0.024718364605239605,0.022719077273874365,0.027096426823716102,0.03325205281754012,0.0,0.03047795283547994,0.024986189366919653,0.03300788889961671,0.029307019809170637,0.0324779301585484,0.03854261612419868,0.027441938553673974,0.0330240244984593,0.029442755883412997,0.021086089545767038,0.0360403318880311,0.025072478343826157,0.026081539778047957,0.02958291705569717,0.029156833828313078,0.019073576405516386,0.026889420220224187,0.03478260402593852,0.0405029815697225,0.024158031471803756,0.0288966374169175,0.016347400194302718,0.032864464935787256,0.01044581851503235,0.02934780145162067,0.024692272503341064,0.02762585607723437,0.023218262266692817,0.025267334845289743,0.023614334932071244,0.03390495212468368
hammer_a_nail,0.037204936043309295,0.03003882756174953,0.026907947329967194,0.023516572272816436,0.026389273559274,0.03422873676982835,0.010013541955799423,0.02877787743173165,0.03425749499900771,0.013130019181958792,0.023402793334938696,0.01944095302514511,0.012590306232078399,0.03170658227600275,0.021804578664095332,0.027368048383410795,0.007950254230452133,0.03016055224419316,0.03047795283547994,0.0,0.03336784035896643,0.023862540155827228,0.02255952248843835,0.009626229830611175,0.03291911296048821,0.014335205595917147,0.03176659671575084,0.023672207871339737,0.03022620770710572,0.029285003016200756,0.03205248701159674,0.024171080527950983,0.026545485355133517,0.024991238060038733,0.020941894972307088,0.02241359213832174,0.028529674396082377,0.03181697526447304,0.02586770834747743,0.023911590678060302,0.02913822052048193,0.0069568622491124775,0.02818018437915992,0.008889897658183696,0.011873496382345987,0.027460741238980034,0.015681046588397776,0.025951137031493196,0.02569774819765766,0.03183871273836379
guitar_plucking,0.026067809667232753,0.02495572486092827,0.030033441208191066,0.03823310820936876,0.028957550976063243,0.031729772544456795,0.026245204549720434,0.027122618538905074,0.021190490481609568,0.03324643778932846,0.0412891793295338,0.04361452217142861,0.019323040003966747,0.02564368608304804,0.03804895668417353,0.005798694033206748,0.041140542618396274,0.021095702724033896,0.024986189366919653,0.03336784035896643,0.0,0.04060720720062755,0.04185191468843434,0.03634314110410408,0.023465172625319188,0.03873202205113209,0.03307879778399894,0.04586495112551208,0.030219444309554155,0.03428854764083667,0.019264400949331205,0.020841088716115473,0.020450497698381313,0.022774677193563846,0.006612999570470485,0.036828112850266014,0.04282562263468606,0.03707295105699146,0.021964121738421966,0.03823996136143222,0.02549919549830408,0.03250421713015822,0.027997965525540004,0.03126065563757397,0.022035001885683997,0.033541795261908855,0.027443814709410135,0.03452322335738445,0.03354529172709918,0.03347313127506647
helicopter_landing,0.019354842067900033,0.019188584295514285,0.041680884639783346,0.02876606496339858,0.03207028587130277,0.03304734826133393,0.029690406789772566,0.02034911292309811,0.020012623270727264,0.036520613736689606,0.030287795466624162,0.02499969446092488,0.027838130113016484,0.029178238665358694,0.02406889585186174,0.03765169634239961,0.037034310294574456,0.02846113763799028,0.03300788889961671,0.023862540155827228,0.04060720720062755,0.0,0.02855051211004109,0.03439049825085553,0.017117686750820173,0.02518522484563891,0.0367144372232656,0.03169203770280905,0.044475222241311896,0.03478465156436013,0.03130493311840629,0.018745001932236854,0.030384085778223695,0.019068034988526092,0.03326702304908878,0.02862024758903066,0.003140868072205632,0.017533948204631954,0.036732246999362506,0.028547914160029,0.04565672665068809,0.028092538421645274,0.0408470012101319,0.03860038897068139,0.03014121006470381,0.04216478695442115,0.030653679859822692,0.027103407400411852,0.02867498451754652,0.018681442705974792
