,baby_laughing,baby_singing,beach,boiling_water_with_kettle,bird_singing,boxing,bubble_wrap_popping,cat_meowing,child_crying,chainsaw_cutting,cow_moo,dolphin_call,dot_matrix_printer,drinking_sounds,donkey_braying,drum_roll,finger_snapping,eating_sounds,glass_breaking,hammer_a_nail,guitar_plucking,helicopter_landing,horse_neighing,key_open_a_door,kid_screaming,lighter,interview,lion_roar,mud_bubbling,male_choir,people_running,person_laughing,person_singing,person_speaking_in_natural_scene,piano_player,pig_oink,plane_taking_off,police_car_with_siren,rain,rooster_crowing,snowfall,sweep,river,tearing_paper,typing_keyboard,wind,fireplace,walking_on_gravel,heartbeat,steam_train
baby_laughing,0.0,0.006117022015291409,0.0338465459480211,0.021063094300714964,0.026335785896645637,0.02501915530668961,0.02325593175466967,0.016039628516729656,0.010403233679822519,0.025986187675624033,0.017238659134410913,0.025857869884463223,0.02554334383613684,0.024933027931307312,0.017835946300887345,0.02853911405864686,0.018448527622858667,0.02823878017503422,0.026621346718357485,0.026452784250745633,0.027976713440439185,0.03975072818019109,0.016962091515061423,0.015302395598858768,0.0077633360838615575,0.028196695017312215,0.018773587713413455,0.02848461218463116,0.032501413637113105,0.02649735971668729,0.025373894420942324,0.027493055233171592,0.03404904002279964,0.020482209467690665,0.025361590636469793,0.015720160748705293,0.03769229478980733,0.03720129345270609,0.030645227327132266,0.020727689608955293,0.03046858772070306,0.025415968050647178,0.029048900439477013,0.026369329711553105,0.024709777999784452,0.033438760556970516,0.024747475424707215,0.020954254530214045,0.015988935499316577,0.03531172687175978
baby_singing,0.006117022015291409,0.0,0.03433785133913837,0.020685797829734842,0.02877517164299463,0.022205030812836923,0.02215200017239436,0.015367107836413395,0.01449314377552203,0.03100296610048029,0.016083780410454107,0.026355284375045987,0.028258819882054798,0.026721223782620707,0.015426142999618872,0.0279072926790879,0.01715148039191787,0.029779471116358876,0.028379566140467816,0.03011319901207621,0.029530479971104057,0.04406879270289696,0.015506365122145422,0.015276296629041786,0.009271178306048124,0.024669171357026662,0.018628039237768113,0.02733410965974261,0.03326726037024043,0.02650654841531867,0.023898582180326606,0.018238658802858226,0.018084979753937067,0.020870998205797613,0.022574357107121214,0.013218192843537566,0.04384847638544251,0.04075237364980128,0.030854365185938745,0.02394305252729802,0.03584373127191814,0.028444298994672216,0.034628255974465116,0.02946997228065868,0.02444034875494093,0.037846117382861366,0.02926613309630407,0.026148948881871307,0.017015289463857185,0.04007052515588602
beach,0.0338465459480211,0.03433785133913837,0.0,0.035201256459343154,0.023481252304620566,0.02005018491749298,0.03843740851892389,0.01767148725296698,0.04063051264793967,0.03062916595349817,0.027476343266814675,0.012027394182977153,0.03468276224277728,0.04115519083353653,0.029329564173053845,0.036684711670284934,0.03949802090174058,0.042630953240483015,0.026991846642264592,0.034331412428652,0.044428589836605054,0.02611702098882338,0.026834105121065176,0.031508255034553935,0.035020291597673156,0.028214242165313916,0.050778701120989804,0.02464450907184903,0.011610354937812449,0.050023256049304486,0.029878129830143797,0.05031673432354729,0.0486537566062439,0.050271417760741885,0.042278113407042815,0.020382635204895968,0.027665281733836252,0.03465084920599922,0.02171503279274849,0.03083551590535376,0.02211857082527918,0.030075712713320817,0.0279835246048588,0.03294550940923992,0.03661504521342195,0.01679256267267738,0.02563918791292288,0.034225288444109915,0.02831970629756042,0.028369763682345714
boiling_water_with_kettle,0.021063094300714964,0.020685797829734842,0.035201256459343154,0.0,0.031234823708688596,0.01721213506725939,0.019647776850711174,0.037202904303583965,0.0258687116535755,0.030198471130223222,0.029296771693704725,0.03319831011310719,0.03131175097849384,0.013909078176217688,0.029758655732497107,0.018859627338986704,0.024434514453526762,0.015995522391426518,0.019785095054441242,0.03551927764852163,0.023018247964271512,0.026639379927218022,0.02919172702955857,0.023925633753492898,0.022319809432397423,0.024847595867734926,0.02241818071662026,0.034579649615156555,0.03578076416988277,0.025585570834690034,0.02031116546558504,0.02271397345922903,0.024431799075824868,0.021804047149209457,0.02097705977705009,0.03826082382579399,0.03083216166497051,0.022753237885386367,0.0313332851780816,0.024631095299923994,0.02620964459909468,0.03605366617342426,0.028171142499689078,0.021627877179236928,0.027979552727496988,0.03016743152693301,0.0260208747997186,0.019884509770764065,0.016524903989370964,0.024717458187118867
bird_singing,0.026335785896645637,0.02877517164299463,0.023481252304620566,0.031234823708688596,0.0,0.023546262226247037,0.023049731209496188,0.015462182214392647,0.026794407105187577,0.02262675775510592,0.019838438053676025,0.014463672864797031,0.030810762405516095,0.027129625999624506,0.022330798977059238,0.028785369909164107,0.024103847161849594,0.02875792531008391,0.02822719414253955,0.021252670265060055,0.026895233641890195,0.026791951935385735,0.020028714804451966,0.024482753663319468,0.025726108931407313,0.015678295801756,0.0384419970199687,0.02365927485050469,0.022919176433386815,0.038171087070595855,0.025305703973419337,0.03677577392287059,0.0364513587918681,0.03808377311396947,0.030491076569881353,0.016354256199152217,0.02531147802232352,0.025132837795825997,0.012439610083935642,0.006878688033443474,0.0224480979807571,0.02013476348737657,0.01105457747677304,0.023602740598512667,0.02882056401568648,0.01840431001661508,0.0183359615467041,0.027617916037301543,0.021956323950816464,0.021744373484871342
boxing,0.02501915530668961,0.022205030812836923,0.02005018491749298,0.01721213506725939,0.023546262226247037,0.0,0.015524270419562003,0.02033594591246253,0.026751830220001566,0.01244109965311401,0.02518067486355776,0.02552053055737903,0.026011763559707683,0.02141313939297121,0.023326282387227133,0.02996553771390169,0.026197760358672377,0.021380152533848486,0.019474411886915018,0.017652385469915776,0.020769734336210422,0.02629226879964638,0.02467197975613403,0.021655029216367888,0.02381461886061022,0.02204501266540979,0.030136931680124556,0.03456886632754955,0.01920018344037777,0.02831499852414314,0.007831033911189023,0.03057050892507416,0.021700904676191925,0.02908720743745339,0.02720949349835941,0.02371447261582116,0.03285697161354093,0.021264220582459855,0.01671004739682634,0.020231705636065765,0.024795440628684478,0.02599559029523509,0.026714279979691766,0.024791606785305603,0.02249271818840334,0.028743435138508824,0.024314492785743266,0.013867700457957018,0.011546355290712629,0.02973672622273575
bubble_wrap_popping,0.02325593175466967,0.02215200017239436,0.03843740851892389,0.019647776850711174,0.023049731209496188,0.015524270419562003,0.0,0.02733268241266822,0.025905384068236493,0.01859498790295922,0.031805298618570954,0.03647942981189678,0.012644984602966869,0.02101954137074368,0.03199321041053571,0.017240281663334606,0.007607535958050453,0.02027007091143441,0.028360004875810307,0.017841483492251155,0.016225050179284998,0.029139249963153462,0.03197172821159187,0.011100708025167806,0.024800759217815643,0.02132435242807554,0.01802427723811268,0.033439290629455054,0.03908787547483923,0.017454105764677312,0.02019385772842859,0.021748412312292468,0.02715617110280032,0.02849231788212094,0.017172352140844695,0.021103300474366923,0.027327342272064566,0.0217971616415138,0.03457535265057822,0.02794311111913201,0.029104637512048486,0.015818268827953664,0.028310547700134175,0.011185894592908838,0.011053275237669632,0.032676711436128124,0.016002487379650772,0.02065080265262844,0.014242210761420664,0.02781028704734866
cat_meowing,0.016039628516729656,0.015367107836413395,0.01767148725296698,0.037202904303583965,0.015462182214392647,0.02033594591246253,0.02733268241266822,0.0,0.018138373792861418,0.019848219457879145,0.013894420990266537,0.010785830226545355,0.02454107682198516,0.029754246432331606,0.014055057679778197,0.025592333943935987,0.025440464896568666,0.03202794726564805,0.02361552544347873,0.02679255300073485,0.02559676823449513,0.036081429085994085,0.015110890070100753,0.018730595934801492,0.01559127864641955,0.022475664393856443,0.03035158367113411,0.00893860335646696,0.025850622322744567,0.0374454439796407,0.023169424485470328,0.03203479720365576,0.0343595139743938,0.03181271006980438,0.028094877429683522,0.004496160311445484,0.034876858335817953,0.0310128318808008,0.023717316838016315,0.011974627432877864,0.030193202727196396,0.02816626273581631,0.021457040274722394,0.03057966187125906,0.025935059069006353,0.028838971375623353,0.024368729849310402,0.014697735147940883,0.016962716183264556,0.030023092002125662
child_crying,0.010403233679822519,0.01449314377552203,0.04063051264793967,0.0258687116535755,0.026794407105187577,0.026751830220001566,0.025905384068236493,0.018138373792861418,0.0,0.036914500119327225,0.019736557443286538,0.02993171132050191,0.03689348973230838,0.03204738363888868,0.019096933574693734,0.03347963806528861,0.02252699093119592,0.03567642014740509,0.04092306037504983,0.0412015101202562,0.02641769453197278,0.05118512373784875,0.016374077383580196,0.02242050726856281,0.006357950075611424,0.032047341231319804,0.018432887996254615,0.023263745647269428,0.03574861610880769,0.030494956312181413,0.02672512246800314,0.02555370429580545,0.031095162695455474,0.01824263582985758,0.02945770336954917,0.020712468010721453,0.04943475704506835,0.048779290847130265,0.0358844395320591,0.024485327029931298,0.04057818778614883,0.03942382602369561,0.038144051367650825,0.034002577352195675,0.03779819692736574,0.047317574843970936,0.03614138811012364,0.035092320786992266,0.018127989583567282,0.04645547281521787
chainsaw_cutting,0.025986187675624033,0.03100296610048029,0.03062916595349817,0.030198471130223222,0.02262675775510592,0.01244109965311401,0.01859498790295922,0.019848219457879145,0.036914500119327225,0.0,0.029255894534099713,0.023541562509108962,0.017926271881063396,0.02362905592734413,0.03398214023648802,0.02779438852721672,0.025281303334314966,0.021144794625969802,0.02357727967505709,0.022270424816994455,0.031614493847045524,0.016868658304844946,0.02883155149868163,0.02456802412528413,0.030501879473546954,0.010370543142829841,0.03910994415735084,0.029573592364602632,0.02394002033199328,0.033636907261739894,0.013938341541178295,0.03631182704891117,0.03357760259402065,0.039890670749714134,0.031963121438787746,0.02100200146729226,0.025941411504943755,0.026466256177299065,0.01867797119991403,0.015991919198482807,0.013379589785493423,0.02418992995875816,0.017436095519964716,0.025066557486479422,0.01731126658619104,0.014479647236568267,0.014198373278997875,0.017701931002954377,0.01570780347373068,0.024054062433008075
cow_moo,0.017238659134410913,0.016083780410454107,0.027476343266814675,0.029296771693704725,0.019838438053676025,0.02518067486355776,0.031805298618570954,0.013894420990266537,0.019736557443286538,0.029255894534099713,0.0,0.01922100994019435,0.03661545755526347,0.03552182768434653,0.006344921821980134,0.0319561784079818,0.02778131508446122,0.03892333420308347,0.034473587090021136,0.034711141116217835,0.02124673466080778,0.04357563011133573,0.006171469491263789,0.028171119561973747,0.019581939401183805,0.029406586963978104,0.02990022931097801,0.016259416495743816,0.026342346430770876,0.03948119774539272,0.023746158687699182,0.03299378059088113,0.03516474749992527,0.027421037222705214,0.027304679536208465,0.01444983402263443,0.04547922553112598,0.0463286825917609,0.02421280040804588,0.01859306940649247,0.03337376350328787,0.03762471542282174,0.02974374022987716,0.033262022469546695,0.038006652247952626,0.03929110352191537,0.03224641654200032,0.02850949582579091,0.023122668056469755,0.04113847432375182
dolphin_call,0.025857869884463223,0.026355284375045987,0.012027394182977153,0.03319831011310719,0.014463672864797031,0.02552053055737903,0.03647942981189678,0.010785830226545355,0.02993171132050191,0.023541562509108962,0.01922100994019435,0.0,0.03614241322520031,0.04091055834418617,0.018447441860663053,0.03334594107143919,0.03549339630706387,0.04337965710309335,0.028867118056142296,0.03201977568235908,0.03610516777572774,0.03775175129605266,0.02068234567595274,0.029402923530874644,0.025215930157529022,0.02698082627635443,0.043808087476346624,0.020639294302667876,0.022974035506791415,0.04727489705169311,0.02547344618208231,0.04575047326974011,0.04460649325929726,0.042467618727156806,0.03870974876699023,0.012543789338411472,0.036030893103983705,0.040562653577859965,0.01894635482819327,0.0142143801887,0.027600451644081623,0.030381996567682545,0.01986005498153745,0.032088672374165246,0.03801909145958625,0.021615539911501887,0.032211497004613045,0.027094481971152776,0.024620313956012153,0.035059026228420685
dot_matrix_printer,0.02554334383613684,0.028258819882054798,0.03468276224277728,0.03131175097849384,0.030810762405516095,0.026011763559707683,0.012644984602966869,0.02454107682198516,0.03689348973230838,0.017926271881063396,0.03661545755526347,0.03614241322520031,0.0,0.023733105616669064,0.03508552725513465,0.025082652167791625,0.017772628687309038,0.020844868019537683,0.03609461841916363,0.018826316666600215,0.021480102584137857,0.03359507504114598,0.035685223212016795,0.012839828757506814,0.029795718376331645,0.016227037077057076,0.03012468869459198,0.03964783258845964,0.03675822796460649,0.01770255555410338,0.02067355907039355,0.028354435572846434,0.019017462441896144,0.03231609853460978,0.024249920512974893,0.022345453854565857,0.0403617880747739,0.03303864256070433,0.031046981429678537,0.02697209794922355,0.022302468078832967,0.014781834637188001,0.02737015719495811,0.021006990825660668,0.005402158376027417,0.02388998687063026,0.018848766209844905,0.025691910925053046,0.025663775991155147,0.029605015639238594
